D1y,Hour,Minute,v1r1(t-4),v1r2(t-4),v1r3(t-4),v1r4(t-4),v1r5(t-4),v1r1(t-3),v1r2(t-3),v1r3(t-3),v1r4(t-3),v1r5(t-3),v1r1(t-2),v1r2(t-2),v1r3(t-2),v1r4(t-2),v1r5(t-2),v1r1(t-1),v1r2(t-1),v1r3(t-1),v1r4(t-1),v1r5(t-1),v1r1(t),v1r2(t),v1r3(t),v1r4(t),v1r5(t),target
4,13,45,68,63,54,60,62,67,65,55,63,62,69,66,55,64,63,67,65,55,65,65,68,65,55,62,60,2
4,14,0,67,65,55,63,62,69,66,55,64,63,67,65,55,65,65,68,65,55,62,60,66,62,52,61,62,2
4,14,15,69,66,55,64,63,67,65,55,65,65,68,65,55,62,60,66,62,52,61,62,66,64,58,63,61,2
4,14,30,67,65,55,65,65,68,65,55,62,60,66,62,52,61,62,66,64,58,63,61,69,66,60,62,61,2
4,14,45,68,65,55,62,60,66,62,52,61,62,66,64,58,63,61,69,66,60,62,61,68,63,58,62,59,2
4,15,0,66,62,52,61,62,66,64,58,63,61,69,66,60,62,61,68,63,58,62,59,66,63,62,62,60,2
4,15,15,66,64,58,63,61,69,66,60,62,61,68,63,58,62,59,66,63,62,62,60,64,60,59,58,58,2
4,15,30,69,66,60,62,61,68,63,58,62,59,66,63,62,62,60,64,60,59,58,58,65,57,54,56,59,2
4,15,45,68,63,58,62,59,66,63,62,62,60,64,60,59,58,58,65,57,54,56,59,66,58,53,55,57,2
4,16,0,66,63,62,62,60,64,60,59,58,58,65,57,54,56,59,66,58,53,55,57,50,45,49,56,59,2
4,16,15,64,60,59,58,58,65,57,54,56,59,66,58,53,55,57,50,45,49,56,59,62,58,59,57,60,2
4,16,30,65,57,54,56,59,66,58,53,55,57,50,45,49,56,59,62,58,59,57,60,66,63,59,61,61,2
4,16,45,66,58,53,55,57,50,45,49,56,59,62,58,59,57,60,66,63,59,61,61,66,64,58,62,61,2
4,17,0,50,45,49,56,59,62,58,59,57,60,66,63,59,61,61,66,64,58,62,61,66,64,56,63,60,2
4,17,15,62,58,59,57,60,66,63,59,61,61,66,64,58,62,61,66,64,56,63,60,66,63,58,61,60,2
4,17,30,66,63,59,61,61,66,64,58,62,61,66,64,56,63,60,66,63,58,61,60,68,66,58,61,62,2
4,17,45,66,64,58,62,61,66,64,56,63,60,66,63,58,61,60,68,66,58,61,62,66,63,56,64,62,2
4,18,0,66,64,56,63,60,66,63,58,61,60,68,66,58,61,62,66,63,56,64,62,64,63,54,61,62,2
4,18,15,66,63,58,61,60,68,66,58,61,62,66,63,56,64,62,64,63,54,61,62,63,62,53,61,60,2
4,18,30,68,66,58,61,62,66,63,56,64,62,64,63,54,61,62,63,62,53,61,60,65,63,54,55,60,2
4,18,45,66,63,56,64,62,64,63,54,61,62,63,62,53,61,60,65,63,54,55,60,67,63,56,58,61,2
4,19,0,64,63,54,61,62,63,62,53,61,60,65,63,54,55,60,67,63,56,58,61,66,61,52,59,60,2
4,19,15,63,62,53,61,60,65,63,54,55,60,67,63,56,58,61,66,61,52,59,60,67,63,57,64,63,2
