D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
5,5,45,57,52,46,58,40,53,50,56,54,61,1
5,6,0,52,46,58,40,53,50,56,54,61,64,1
5,6,15,46,58,40,53,50,56,54,61,64,64,2
5,6,30,58,40,53,50,56,54,61,64,64,62,1
5,6,45,40,53,50,56,54,61,64,64,62,63,1
5,7,0,53,50,56,54,61,64,64,62,63,59,1
5,7,15,50,56,54,61,64,64,62,63,59,62,1
5,7,30,56,54,61,64,64,62,63,59,62,63,2
5,7,45,54,61,64,64,62,63,59,62,63,62,1
5,8,0,61,64,64,62,63,59,62,63,62,61,1
5,8,15,64,64,62,63,59,62,63,62,61,59,1
5,8,30,64,62,63,59,62,63,62,61,59,62,1
5,8,45,62,63,59,62,63,62,61,59,62,60,1
5,9,0,63,59,62,63,62,61,59,62,60,61,1
5,9,15,59,62,63,62,61,59,62,60,61,61,1
5,9,30,62,63,62,61,59,62,60,61,61,65,1
5,9,45,63,62,61,59,62,60,61,61,65,60,2
5,10,0,62,61,59,62,60,61,61,65,60,62,2
5,10,15,61,59,62,60,61,61,65,60,62,62,1
5,10,30,59,62,60,61,61,65,60,62,62,59,2
5,10,45,62,60,61,61,65,60,62,62,59,58,1
5,11,0,60,61,61,65,60,62,62,59,58,60,1
5,11,15,61,61,65,60,62,62,59,58,60,59,1
5,11,30,61,65,60,62,62,59,58,60,59,61,2
5,11,45,65,60,62,62,59,58,60,59,61,61,2
5,12,0,60,62,62,59,58,60,59,61,61,60,1
5,12,15,62,62,59,58,60,59,61,61,60,59,2
5,12,30,62,59,58,60,59,61,61,60,59,59,2
5,12,45,59,58,60,59,61,61,60,59,59,60,1
5,13,0,58,60,59,61,61,60,59,59,60,59,1
5,13,15,60,59,61,61,60,59,59,60,59,59,1
5,13,30,59,61,61,60,59,59,60,59,59,61,1
5,13,45,61,61,60,59,59,60,59,59,61,60,1
5,14,0,61,60,59,59,60,59,59,61,60,60,2
5,14,15,60,59,59,60,59,59,61,60,60,61,1
5,14,30,59,59,60,59,59,61,60,60,61,60,1
5,14,45,59,60,59,59,61,60,60,61,60,58,1
5,15,0,60,59,59,61,60,60,61,60,58,62,1
5,15,15,59,59,61,60,60,61,60,58,62,63,1
5,15,30,59,61,60,60,61,60,58,62,63,64,1
5,15,45,61,60,60,61,60,58,62,63,64,61,1
5,16,0,60,60,61,60,58,62,63,64,61,62,1
5,16,15,60,61,60,58,62,63,64,61,62,61,1
5,16,30,61,60,58,62,63,64,61,62,61,60,1
5,16,45,60,58,62,63,64,61,62,61,60,60,1
5,17,0,58,62,63,64,61,62,61,60,60,62,1
5,17,15,62,63,64,61,62,61,60,60,62,60,2
5,17,30,63,64,61,62,61,60,60,62,60,60,2
5,17,45,64,61,62,61,60,60,62,60,60,60,1
5,18,0,61,62,61,60,60,62,60,60,60,59,2
5,18,15,62,61,60,60,62,60,60,60,59,59,1
5,18,30,61,60,60,62,60,60,60,59,59,60,1
